           x [mm]           y [mm]           z [mm]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
       -20.666675       -20.666675       -1066.6021        6.9837575        6.9837561        22.937393
       -14.000005       -20.666675       -1066.6021       -6.5230012        1.1476662        16.475594
        -7.333335       -20.666675       -1066.6021      -0.74139744      -0.90057528       0.42655894
        -0.666665       -20.666675       -1066.6021       0.75347829      -0.91827381       0.42843366
         6.000005       -20.666675       -1066.6021         6.516932        1.1541152        16.466724
        12.666675       -20.666675       -1066.6021       -6.9878283        6.9794769        22.928007
        19.333345       -20.666675       -1066.6021                0                0                0
       -20.666675       -14.000005       -1066.6021         1.147665       -6.5230036        16.475578
       -14.000005       -14.000005       -1066.6021         230.2543        226.36139        136.41591
        -7.333335       -14.000005       -1066.6021        100.28962        301.68893        839.83374
        -0.666665       -14.000005       -1066.6021       -100.32246        301.68478        839.80682
         6.000005       -14.000005       -1066.6021       -226.28505        230.17159        136.38609
        12.666675       -14.000005       -1066.6021       -1.1484847       -6.5078135        16.467272
        19.333345       -14.000005       -1066.6021                0                0                0
       -20.666675        -7.333335       -1066.6021      -0.90057385      -0.74139607       0.42655814
       -14.000005        -7.333335       -1066.6021         301.6889        100.28962        839.83374
        -7.333335        -7.333335       -1066.6021         114.0612         114.0612        1657.8553
        -0.666665        -7.333335       -1066.6021       -114.10022        114.07517         1657.845
         6.000005        -7.333335       -1066.6021        -301.6908        100.29992        839.80902
        12.666675        -7.333335       -1066.6021       0.90704626      -0.74448389       0.42743844
        19.333345        -7.333335       -1066.6021                0                0                0
       -20.666675        -0.666665       -1066.6021      -0.91827381       0.75347829        0.4284336
       -14.000005        -0.666665       -1066.6021        301.68478       -100.32246        839.80682
        -7.333335        -0.666665       -1066.6021        114.07517       -114.10022         1657.845
        -0.666665        -0.666665       -1066.6021       -114.09281       -114.09281        1657.8539
         6.000005        -0.666665       -1066.6021       -301.68063       -100.29351        839.80591
        12.666675        -0.666665       -1066.6021       0.92138356       0.75613117       0.42799807
        19.333345        -0.666665       -1066.6021                0                0                0
       -20.666675         6.000005       -1066.6021        1.1541152         6.516932        16.466724
       -14.000005         6.000005       -1066.6021        226.28084       -230.17535        136.38609
        -7.333335         6.000005       -1066.6021        100.29992        -301.6908        839.80896
        -0.666665         6.000005       -1066.6021       -100.29351       -301.68066        839.80591
         6.000005         6.000005       -1066.6021       -230.19595       -226.30377        136.41689
        12.666675         6.000005       -1066.6021       -1.1553295         6.508503        16.467993
