#BLTrackFile VirtualDetector/ParyleneN_Foil
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-2.52749 -0.0273249 -1.0001 0.0245528 0.0835994 13.6472 0.913243 -2212 1 1 0 1
-2.40886 -1.0101 -0.9999 0.646691 0.145446 -12.6551 524.72 -2212 1 1 0 1
-0.194726 2.50358 -1.0001 0.0235799 -0.0729465 13.6114 0.913874 -2212 2 1 0 1
-0.835585 1.95193 -0.9999 0.848434 -0.398879 -12.517 529.614 -2212 2 1 0 1
1.83009 -0.655363 -1.0001 -0.132031 -0.00455824 13.6331 0.914258 -2212 3 1 0 1
2.3412 -0.278098 -0.9999 -0.710543 0.795206 -12.661 523.447 -2212 3 1 0 1
3.98957 0.964655 -1.0001 0.089817 0.139201 13.6481 0.914149 -2212 4 1 0 1
3.43303 0.465405 -0.9999 1.3993 -1.39573 -12.4419 530.216 -2212 4 1 0 1
-2.05151 -0.851179 -1.0001 0.0101003 -0.0475378 13.6219 0.913515 -2212 5 1 0 1
-1.55356 -1.6476 -0.9999 0.274202 0.892004 -12.6232 525.725 -2212 5 1 0 1
2.35247 5.84356 -1.0001 -0.0281306 0.12756 13.6579 0.913405 -2212 6 1 0 1
3.03369 5.08414 -0.9999 1.78803 1.92799 -12.3455 531.431 -2212 6 1 0 1
0.197962 5.82372 -1.0001 0.00131691 0.756616 13.6027 0.914464 -2212 7 1 0 1
-1.30565 8.03647 -0.9999 -2.77702 -0.972149 -12.091 541.083 -2212 7 1 0 1
4.52326 -1.16748 -1.0001 -0.11095 -0.00907989 13.6624 0.913948 -2212 8 1 0 1
4.10533 0.48611 -0.9999 -1.62143 -1.07076 -12.5707 524.855 -2212 8 1 0 1
-1.60859 -0.62944 -1.0001 -0.165501 0.277131 13.6677 0.914419 -2212 9 1 0 1
-1.77653 -1.96219 -0.9999 1.2943 0.165004 -12.7061 521.299 -2212 9 1 0 1
2.10188 -1.11791 -1.0001 0.00291047 0.0155041 13.6625 0.913563 -2212 10 1 0 1
1.47577 -0.901248 -0.9999 -0.612021 -1.32844 -12.4985 529.484 -2212 10 1 0 1
