# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
0.0 1 -2.984 0.000 -0.790 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.027
5.0 1 -3.504 0.000 -4.889 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.027
10.0 1 0.096 0.000 -6.945 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.027
15.0 1 3.512 0.000 -4.844 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.027
20.0 1 3.331 0.000 -0.719 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.027
25.0 1 -0.565 0.000 0.710 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
30.0 1 -3.568 0.000 -1.954 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
35.0 1 -2.672 0.000 -5.983 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
40.0 1 1.418 0.000 -6.710 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
45.0 1 3.901 0.000 -3.549 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
50.0 1 2.294 0.000 0.256 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
55.0 1 -1.862 0.000 0.236 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
60.0 1 -3.728 0.000 -3.327 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
65.0 1 -1.449 0.000 -6.772 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.028
70.0 1 2.635 0.000 -5.985 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.029
75.0 1 3.804 0.000 -2.132 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.029
80.0 1 0.918 0.000 0.826 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.029
