# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
690.0 1 -91.227 0.000 39.475 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.58
955.0 1 68.341 0.000 69.342 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 42.69
960.0 1 65.676 0.000 65.887 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 57.13
1010.0 2 -6.959 1.932 9.928 2.843 -nan(ind) 3.058e-07 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 3.101
1015.0 1 -14.582 0.000 3.461 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 3.813
1020.0 1 -6.379 0.000 2.126 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 4.771
1025.0 1 -5.553 0.000 -6.718 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 4.771
1030.0 3 -6.903 2.548 7.313 15.713 8.183 86.62 0.004006 -737.2 -2.803e+04 -1.438e+04 1072 -2.805e+04 -1.349e+04 6.965
1035.0 3 -17.187 11.442 2.699 22.959 46.1 37.44 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.641
1040.0 2 -24.211 18.376 6.528 20.847 0 2.639e-06 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 5.369
1045.0 1 -45.505 0.000 19.395 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.743
1050.0 1 -45.013 0.000 12.573 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.743
1055.0 1 -42.505 0.000 7.165 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.743
1060.0 1 -38.693 0.000 3.254 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.743
1065.0 1 -34.064 0.000 0.926 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.743
1070.0 1 -29.076 0.000 0.336 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1075.0 1 -24.167 0.000 1.309 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1080.0 1 -19.630 0.000 3.619 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1085.0 1 -15.753 0.000 7.119 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1090.0 1 -12.845 0.000 11.627 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1095.0 1 -11.067 0.000 16.813 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1100.0 1 -10.506 0.000 22.361 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1105.0 1 -11.203 0.000 27.956 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1110.0 1 -13.102 0.000 33.293 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1115.0 1 -16.076 0.000 38.106 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1120.0 1 -19.956 0.000 42.183 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1125.0 1 -24.559 0.000 45.343 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1130.0 1 -29.664 0.000 47.486 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1135.0 1 -35.057 0.000 48.584 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1140.0 1 -40.550 0.000 48.589 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1145.0 1 -45.950 0.000 47.495 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1150.0 1 -51.061 0.000 45.315 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
